CO_ART;ART DES;CAT;GENERAL;SUB CAT ;LIN;SUB-LIN;MODELO;COLOR;TALLA;MARCA;NUM-REG;REF;CANT UNI_BULTO;TOT-BULTOS;UNI-BLTOS;TOT-UNI;FALTANTES;NOTA;PRECIO COSTO;PRECIO VENTA;CO_SENCAMER;IVA;RIF_LIMPIO;ID_USER;MODELO
UNB42K157-50005;ZAPATO UNDER ARMOUR HOVR NEGRO BLANCO ;1;402;201;301;501;685;7039;142;8;;;3;;;;;;1;65;0005700003577CI11;1;25998807;5;K157
UNB43K157-50005;ZAPATO UNDER ARMOUR HOVR NEGRO BLANCO ;1;402;201;301;501;685;7039;143;8;;;3;;;;;;1;65;0005700003577CI11;1;25998807;5;K157
UNB44K157-50005;ZAPATO UNDER ARMOUR HOVR NEGRO BLANCO ;1;402;201;301;501;685;7039;144;8;;;1;;;;;;1;65;0005700003577CI11;1;25998807;5;K157
UGP40K157-60006;ZAPATO UNDER ARMOUR HOVR GRIS PLOMO;1;402;201;301;501;685;7199;140;8;;;2;;;;;;1;65;0005700003577CI11;1;25998807;5;K157
UGP41K157-60006;ZAPATO UNDER ARMOUR HOVR GRIS PLOMO;1;402;201;301;501;685;7199;141;8;;;3;;;;;;1;65;0005700003577CI11;1;25998807;5;K157
UGP42K157-60006;ZAPATO UNDER ARMOUR HOVR GRIS PLOMO;1;402;201;301;501;685;7199;142;8;;;3;;;;;;1;65;0005700003577CI11;1;25998807;5;K157
UGP43K157-60006;ZAPATO UNDER ARMOUR HOVR GRIS PLOMO;1;402;201;301;501;685;7199;143;8;;;3;;;;;;1;65;0005700003577CI11;1;25998807;5;K157
UGP44K157-60006;ZAPATO UNDER ARMOUR HOVR GRIS PLOMO;1;402;201;301;501;685;7199;144;8;;;1;;;;;;1;65;0005700003577CI11;1;25998807;5;K157
NNV41K105-10001;BOTIN LEBRON AMBASSADOR NEGRO VERDE;1;402;201;301;502;686;7165;141;1;;;2;;;;;;1;60;0005700003577CI11;1;25998807;5;K105
NNV42K105-10001;BOTIN LEBRON AMBASSADOR NEGRO VERDE;1;402;201;301;502;686;7165;142;1;;;4;;;;;;1;60;0005700003577CI11;1;25998807;5;K105
NNV43K105-10001;BOTIN LEBRON AMBASSADOR NEGRO VERDE;1;402;201;301;502;686;7165;143;1;;;3;;;;;;1;60;0005700003577CI11;1;25998807;5;K105
NNV44K105-10001;BOTIN LEBRON AMBASSADOR NEGRO VERDE;1;402;201;301;502;686;7165;144;1;;;2;;;;;;1;60;0005700003577CI11;1;25998807;5;K105
NNV45K105-10001;BOTIN LEBRON AMBASSADOR NEGRO VERDE;1;402;201;301;502;686;7165;145;1;;;1;;;;;;1;60;0005700003577CI11;1;25998807;5;K105
NN40K105-20002;BOTIN LEBRON AMBASSADOR NEGRO ;1;402;201;301;502;686;7011;140;1;;;1;;;;;;1;60;0005700003577CI11;1;25998807;5;K105
NN41K105-20002;BOTIN LEBRON AMBASSADOR NEGRO ;1;402;201;301;502;686;7011;141;1;;;2;;;;;;1;60;0005700003577CI11;1;25998807;5;K105
NN42K105-20002;BOTIN LEBRON AMBASSADOR NEGRO ;1;402;201;301;502;686;7011;142;1;;;3;;;;;;1;60;0005700003577CI11;1;25998807;5;K105
NN43K105-20002;BOTIN LEBRON AMBASSADOR NEGRO ;1;402;201;301;502;686;7011;143;1;;;3;;;;;;1;60;0005700003577CI11;1;25998807;5;K105
NN44K105-20002;BOTIN LEBRON AMBASSADOR NEGRO ;1;402;201;301;502;686;7011;144;1;;;2;;;;;;1;60;0005700003577CI11;1;25998807;5;K105
NN45K105-20002;BOTIN LEBRON AMBASSADOR NEGRO ;1;402;201;301;502;686;7011;145;1;;;1;;;;;;1;60;0005700003577CI11;1;25998807;5;K105
NGN40K105-30003;BOTIN LEBRON AMBASSADOR GRIS NEGRO ;1;402;201;301;502;686;7108;140;1;;;1;;;;;;1;60;0005700003577CI11;1;25998807;5;K105
NGN41K105-30003;BOTIN LEBRON AMBASSADOR GRIS NEGRO ;1;402;201;301;502;686;7108;141;1;;;2;;;;;;1;60;0005700003577CI11;1;25998807;5;K105
NGN42K105-30003;BOTIN LEBRON AMBASSADOR GRIS NEGRO ;1;402;201;301;502;686;7108;142;1;;;2;;;;;;1;60;0005700003577CI11;1;25998807;5;K105
NGN43K105-30003;BOTIN LEBRON AMBASSADOR GRIS NEGRO ;1;402;201;301;502;686;7108;143;1;;;5;;;;;;1;60;0005700003577CI11;1;25998807;5;K105
NGN44K105-30003;BOTIN LEBRON AMBASSADOR GRIS NEGRO ;1;402;201;301;502;686;7108;144;1;;;1;;;;;;1;60;0005700003577CI11;1;25998807;5;K105
NGN45K105-30003;BOTIN LEBRON AMBASSADOR GRIS NEGRO ;1;402;201;301;502;686;7108;145;1;;;1;;;;;;1;60;0005700003577CI11;1;25998807;5;K105
