CO_ART;ART DES;CAT;GENERAL;SUB CAT ;LIN;SUB-LIN;MODELO;COLOR;TALLA;MARCA;NUM-REG;REF;CANT UNI_BULTO;TOT-BULTOS;UNI-BLTOS;TOT-UNI;FALTANTES;NOTA;PRECIO COSTO;PRECIO VENTA;CO_SENCAMER;IVA;RIF_LIMPIO;ID_USER;MODELO
NGB42MAX-50005;ZAPATO NIKE AIR MAX GRIS BLANCO PUNTOS;1;402;201;301;501;687;7334;142;1;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NGB43MAX-50005;ZAPATO NIKE AIR MAX GRIS BLANCO PUNTOS;1;402;201;301;501;687;7334;143;1;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NGB44MAX-50005;ZAPATO NIKE AIR MAX GRIS BLANCO PUNTOS;1;402;201;301;501;687;7334;144;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NGB45MAX-50005;ZAPATO NIKE AIR MAX GRIS BLANCO PUNTOS;1;402;201;301;501;687;7334;145;1;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NBGN40MAX-60006;ZAPATO NIKE AIR MAX BLANCO GRIS NEGRO;1;402;201;301;501;687;7335;140;1;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NBGN41MAX-60006;ZAPATO NIKE AIR MAX BLANCO GRIS NEGRO;1;402;201;301;501;687;7335;141;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NBGN42MAX-60006;ZAPATO NIKE AIR MAX BLANCO GRIS NEGRO;1;402;201;301;501;687;7335;142;1;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NBGN43MAX-60006;ZAPATO NIKE AIR MAX BLANCO GRIS NEGRO;1;402;201;301;501;687;7335;143;1;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NBGN44MAX-60006;ZAPATO NIKE AIR MAX BLANCO GRIS NEGRO;1;402;201;301;501;687;7335;144;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NBGN45MAX-60006;ZAPATO NIKE AIR MAX BLANCO GRIS NEGRO;1;402;201;301;501;687;7335;145;1;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NLR36MAX-70007;ZAPATO NIKE AIR MAX LUNA ROSADA;1;401;201;301;501;687;7336;136;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NLR37MAX-70007;ZAPATO NIKE AIR MAX LUNA ROSADA;1;401;201;301;501;687;7336;137;1;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NLR38MAX-70007;ZAPATO NIKE AIR MAX LUNA ROSADA;1;401;201;301;501;687;7336;138;1;;;4;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NLR39MAX-70007;ZAPATO NIKE AIR MAX LUNA ROSADA;1;401;201;301;501;687;7336;139;1;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NLR40MAX-70007;ZAPATO NIKE AIR MAX LUNA ROSADA;1;401;201;301;501;687;7336;140;1;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
