CO_ART;ART DES;CAT;GENERAL;SUB CAT ;LIN;SUB-LIN;MODELO;COLOR;TALLA;MARCA;NUM-REG;REF;CANT UNI_BULTO;TOT-BULTOS;UNI-BLTOS;TOT-UNI;FALTANTES;NOTA;PRECIO COSTO;PRECIO VENTA;CO_SENCAMER;IVA;RIF_LIMPIO;ID_USER;MODELO
NGB42MAX-30003;ZAPATO NIKE AIR MAX GRIS BLANCO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;GRIS BLANCO;42;NIKE;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NGB43MAX-30003;ZAPATO NIKE AIR MAX GRIS BLANCO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;GRIS BLANCO;43;NIKE;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NGB44MAX-30003;ZAPATO NIKE AIR MAX GRIS BLANCO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;GRIS BLANCO;44;NIKE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NGB45MAX-30003;ZAPATO NIKE AIR MAX GRIS BLANCO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;GRIS BLANCO;45;NIKE;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NBR36MAX-40004;ZAPATO NIKE AIR MAX BLANCO ROSADO;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;BLANCO ROSADO;36;NIKE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NBR37MAX-40004;ZAPATO NIKE AIR MAX BLANCO ROSADO;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;BLANCO ROSADO;37;NIKE;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NBR38MAX-40004;ZAPATO NIKE AIR MAX BLANCO ROSADO;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;BLANCO ROSADO;38;NIKE;;;4;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NBR39MAX-40004;ZAPATO NIKE AIR MAX BLANCO ROSADO;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;BLANCO ROSADO;39;NIKE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NBR40MAX-40004;ZAPATO NIKE AIR MAX BLANCO ROSADO;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;BLANCO ROSADO;40;NIKE;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NGB40MAX-50005;ZAPATO NIKE AIR MAX GRIS BLANCO PUNTOS;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;GRIS BLANCO PUNTOS;40;NIKE;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NGB41MAX-50005;ZAPATO NIKE AIR MAX GRIS BLANCO PUNTOS;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;GRIS BLANCO PUNTOS;41;NIKE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NGB42MAX-50005;ZAPATO NIKE AIR MAX GRIS BLANCO PUNTOS;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;GRIS BLANCO PUNTOS;42;NIKE;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NGB43MAX-50005;ZAPATO NIKE AIR MAX GRIS BLANCO PUNTOS;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;GRIS BLANCO PUNTOS;43;NIKE;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NGB44MAX-50005;ZAPATO NIKE AIR MAX GRIS BLANCO PUNTOS;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;GRIS BLANCO PUNTOS;44;NIKE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NGB45MAX-50005;ZAPATO NIKE AIR MAX GRIS BLANCO PUNTOS;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;GRIS BLANCO PUNTOS;45;NIKE;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NBGN40MAX-60006;ZAPATO NIKE AIR MAX BLANCO GRIS NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;BLANCO GRIS NEGRO;40;NIKE;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NBGN41MAX-60006;ZAPATO NIKE AIR MAX BLANCO GRIS NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;BLANCO GRIS NEGRO;41;NIKE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NBGN42MAX-60006;ZAPATO NIKE AIR MAX BLANCO GRIS NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;BLANCO GRIS NEGRO;42;NIKE;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NBGN43MAX-60006;ZAPATO NIKE AIR MAX BLANCO GRIS NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;BLANCO GRIS NEGRO;43;NIKE;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NBGN44MAX-60006;ZAPATO NIKE AIR MAX BLANCO GRIS NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;BLANCO GRIS NEGRO;44;NIKE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NBGN45MAX-60006;ZAPATO NIKE AIR MAX BLANCO GRIS NEGRO;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;BLANCO GRIS NEGRO;45;NIKE;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NLR36MAX-70007;ZAPATO NIKE AIR MAX LUNA ROSADA;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;LUNA ROSADA;36;NIKE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NLR37MAX-70007;ZAPATO NIKE AIR MAX LUNA ROSADA;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;LUNA ROSADA;37;NIKE;;;3;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NLR38MAX-70007;ZAPATO NIKE AIR MAX LUNA ROSADA;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;LUNA ROSADA;38;NIKE;;;4;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NLR39MAX-70007;ZAPATO NIKE AIR MAX LUNA ROSADA;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;LUNA ROSADA;39;NIKE;;;2;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
NLR40MAX-70007;ZAPATO NIKE AIR MAX LUNA ROSADA;CALZADO;DAMA;ZAPATO;DEPORTIVO;CORTE BAJO;AIR MAX;LUNA ROSADA;40;NIKE;;;1;;;;;;1;20;0005700003577CI11;1;25998807;5;MAX
