CO_ART,ART DES,CAT,GENERAL,SUB CAT ,LIN,SUB-LIN,MODELO,COLOR,TALLA,MARCA,NUM-REG,REF,CANT UNI_BULTO,TOT-BULTOS,UNI-BLTOS,TOT-UNI,FALTANTES,NOTA,PRECIO COSTO,PRECIO VENTA,CO_SENCAMER,IVA,RIF_LIMPIO,ID_USER,MODELO
BNAR9024-10001,BOLSO NIKE AZUL REY,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,AZUL REY,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNN9024-20002,BOLSO NIKE NEGRO,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,NEGRO,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNG9024-30003,BOLSO NIKE GRIS,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,GRIS,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNR9024-40004,BOLSO NIKE ROJO ,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,ROJO,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNN61605-10001,BOLSO NIKE NEGRO,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,NEGRO,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNG61605-20002,BOLSO NIKE GRIS,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,GRIS,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNAR61605-30003,BOLSO NIKE AZUL REY,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,AZUL REY,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNR61605-40004,BOLSO NIKE ROJO ,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,ROJO ,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BJNLA9908-10001,BOLSO JORDAN NEGRO LOGO AZUL,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,NEGRO LOGO AZUL,UNICA,JORDAN,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BJNLB9908-20002,BOLSO JORDAN NEGRO LOGO BLANCO,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,NEGRO LOGO BLANCO,UNICA,JORDAN,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BJNLG9908-30003,BOLSO JORDAN NEGRO LOGO GRIS,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,NEGRO LOGO GRIS,UNICA,JORDAN,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNNA1623-10001,BOLSO NIKE NEGRO AZUL,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,NEGRO AZUL,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNNV1623-20002,BOLSO NIKE NEGRO VERDE ,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,NEGRO VERDE,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNNR1623-30003,BOLSO NIKE NEGRO ROJO,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,NEGRO ROJO,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNNG1623-40004,BOLSO NIKE NEGRO GRIS,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,NEGRO GRIS,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNNLV5000-10001,BOLSO NIKE NEGRO LOGO VERDE ,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,NEGRO LOGO VERDE ,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
BNNLR5000-20002,BOLSO NIKE NEGRO LOGO ROJO,TEXTILES,UNISEX,BOLSOS,DEPORTIVO,GENERICO,DEPORTIVO,NEGRO LOGO ROJO,UNICA,NIKE,,,2,,,,,,1,20,005704TI12-326129,1,25998807,5,DEPORTIVO
