CO_ART;ART DES;CAT;GENERAL;SUB CAT ;LIN;SUB-LIN;MODELO;COLOR;TALLA;MARCA;NUM-REG;REF;CANT UNI_BULTO;TOT-BULTOS;UNI-BLTOS;TOT-UNI;FALTANTES;NOTA;PRECIO COSTO;PRECIO VENTA;CO_SENCAMER;IVA;RIF_LIMPIO;ID_USER;MODELO
EANGU42EA-40004;ZAPATO EMPORIO ARMANI NEGRO GRIS VERDE;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;NEGRO GRIS VERDE;42;ARMANI ;;;3;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EANGU43EA-40004;ZAPATO EMPORIO ARMANI NEGRO GRIS VERDE;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;NEGRO GRIS VERDE;43;ARMANI ;;;1;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EANGU44EA-40004;ZAPATO EMPORIO ARMANI NEGRO GRIS VERDE;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;NEGRO GRIS VERDE;44;ARMANI ;;;2;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EANGU45EA-40004;ZAPATO EMPORIO ARMANI NEGRO GRIS VERDE;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;NEGRO GRIS VERDE;45;ARMANI ;;;1;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EABRV40EA-50005;ZAPATO EMPORIO ARMANI BLANCO ROJO VERDE;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;BLANCO ROJO VERDE ;40;ARMANI ;;;2;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EABRV41EA-50005;ZAPATO EMPORIO ARMANI BLANCO ROJO VERDE;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;BLANCO ROJO VERDE ;41;ARMANI ;;;3;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EABRV42EA-50005;ZAPATO EMPORIO ARMANI BLANCO ROJO VERDE;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;BLANCO ROJO VERDE ;42;ARMANI ;;;3;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EABRV43EA-50005;ZAPATO EMPORIO ARMANI BLANCO ROJO VERDE;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;BLANCO ROJO VERDE ;43;ARMANI ;;;2;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EABRV44EA-50005;ZAPATO EMPORIO ARMANI BLANCO ROJO VERDE;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;BLANCO ROJO VERDE ;44;ARMANI ;;;1;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EABRV45EA-50005;ZAPATO EMPORIO ARMANI BLANCO ROJO VERDE;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;BLANCO ROJO VERDE ;45;ARMANI ;;;1;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EABNM40EA-60006;ZAPATO EMPORIO ARMANI BLANCO NEGRO MOSTAZA;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;BLANCO NEGRO MOSTAZA;40;ARMANI ;;;2;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EABNM41EA-60006;ZAPATO EMPORIO ARMANI BLANCO NEGRO MOSTAZA;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;BLANCO NEGRO MOSTAZA;41;ARMANI ;;;2;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
EABNM42EA-60006;ZAPATO EMPORIO ARMANI BLANCO NEGRO MOSTAZA;CALZADO;CABALLERO;ZAPATO;DEPORTIVO;CORTE BAJO;EMPORIO ARMANI;BLANCO NEGRO MOSTAZA;42;ARMANI ;;;4;;;;;;1;25;0005700003577CI11;1;25998807;5;EA
