640;DUNK CAMALEON;MODELO
641;AIR FORCE ONE CAMALEON;MODELO
642;JORDAN RETRO 3;MODELO
643;RETRO 4;MODELO
644;CONVERSE;MODELO
645;DEPORTIVO;MODELO
646;ZAPATILLAS;MODELO
647;TRES CUARTOS;MODELO
648;MEDIA PIERNA;MODELO
649;TOBILLERA;MODELO
650;PLAYERO;MODELO
651;COOLER;MODELO
652;ESTAMPADO;MODELO
653;CON CAPUCHA;MODELO
654;BOTAS;MODELO
655;PESCADOR;MODELO
656;CORTEZ;MODELO
657;BOTIN CLASICO;MODELO
658;CLASICO;MODELO
659;A CUADROS CORTE BAJO;MODELO
660;BOTIN A CUADROS;MODELO
661;MELODY CEREZA;MODELO
662;VAPORMAX;MODELO
663;GIANNIS;MODELO
664;RUNNER;MODELO
665;LEBRON 19;MODELO
666;LEBRON JAMES;MODELO
667;CARIBE;MODELO
668;MILITAR;MODELO
669;AIR 950;MODELO
670;EVA YOGA MAT;MODELO
671;DIAMANTES;MODELO
672;4CIENTES;MODELO
673;STANLY SMITH;MODELO
674;WITNESS 5;MODELO
675;BO JACKSON;MODELO
676;RETRO 7;MODELO
677;RETRO 8;MODELO
678;RETRO 3;MODELO
679;LEBRON WITNESS 5;MODELO
680;JORDAN ZION;MODELO
681;MONT GREEN WALLY;MODELO
682;MONT GREEN ZUPRA;MODELO
683;MONT GREEN IZZY;MODELO
684;MONT GREEN EVO;MODELO
7001;NEGRO BLANCO AZUL;COLOR
7002;BLANCO AZUL ;COLOR
7003;NEGRO AZUL;COLOR
7004;NEGRO DORADO BLANCO;COLOR
7005;NEGRO MORADO;COLOR
7006;ROJO NEGRO;COLOR
7007;VERDE MILITAR;COLOR
7008;NEGRO ROJO AZUL;COLOR
7009;BLANCO;COLOR
7010;GRIS ROSA BEIGE;COLOR
7011;NEGRO;COLOR
7012;AZUL NARANJA;COLOR
7013;BLANCO ROJO NEGRO;COLOR
7014;NEGRO GRIS;COLOR
7015;NEGRO DORADO BLANCO;COLOR
7016;BEIGE BLANCO;COLOR
7017;MORADO BLANCO;COLOR
7018;AZUL CIELO;COLOR
7019;ROSA  ;COLOR
7020;VERDE FLUORESCENTE;COLOR
7021;NEGRO AZUL AMARILLO;COLOR
7022;ROSA ROJO AZUL;COLOR
7023;GRIS BLANCO ROJO;COLOR
7024;BLANCO PURPURA;COLOR
7025;BLANCO;COLOR
7026;BLANCO ROJO ;COLOR
7027;ROJO BLANCO;COLOR
7028;AZUL MARINO;COLOR
7029;MARRON;COLOR
7030;MORADO ;COLOR
7031;VERDE CLARO   ;COLOR
7032;BLANCO AZUL NARANJA;COLOR
7033;BLANCO AZUL MARINO;COLOR
7034;BLANCO NEGRO ARCOIRIS;COLOR
7035;BLANCO ROJO ROSA GRAFITI;COLOR
7036;BLANCO NEGRO ROSA GRAFITI;COLOR
7037;BLANCO ROJO ROSA ;COLOR
7038;BLANCO NEGRO ROSA ;COLOR
7039;NEGRO BLANCO;COLOR
7040;GRIS AZUL CLARO;COLOR
7041;GRIS AZUL LILA;COLOR
7042;NEGRO NARANJA FLUORESCENTE ;COLOR
7043;GRIS MELON;COLOR
7044;NEGRO BLANCO;COLOR
7045;NEGRO NARANJA FLOURESCENTE;COLOR
7046;AZUL BLANCO;COLOR
7047;BLANCO NEGRO;COLOR
7048;VERDE NEGRO BLANCO;COLOR
7049;VERDE CLARO  NEGRO BLANCO;COLOR
7050;BLANCO MORADO;COLOR
7051;NEGRO NARANJA FLUORESCENTE BLANCO;COLOR
7052;GRIS ROSA;COLOR
7053;MORADO;COLOR
7054;NEGRO BLANCO ROSA;COLOR
7055;NEGRO GRIS BLANCO;COLOR
7056;NEGRO VERDE FUORESCENTE NARANJA;COLOR
7057;NEGRO BLANCO GRIS;COLOR
7058;GRIS NARANJA BLANCO;COLOR
7059;GRIS VERDE FLUORESCENTE BLANCO;COLOR
7060;NEGRO GRIS ROJO BLANCO;COLOR
7061;GRIS MORADO BLANCO;COLOR
7062;BLANCO AZUL CLARO NEGRO;COLOR
7063;VERDE AGUA FUCSIA VERDE FLUORESCENTE;COLOR
7064;ROSADO NEGRO BLANCO;COLOR
7065;NEGRO BLANCO;COLOR
7066;BLANCO REFLECTIVO;COLOR
7067;VERDE NARANJA;COLOR
7068;AMARILLO ROJO GRIS;COLOR
7069;NARANJA NEGRO AMARILLO;COLOR
7070;NEGRO DORADO GRIS;COLOR
7071;BLANCO AZUL;COLOR
7072;BLANCO DORADO;COLOR
7073;AZUL GRIS;COLOR
7074;ROJO DORADO;COLOR
7075;ROJO VERDE;COLOR
7076;AZUL VERDE;COLOR
7077;AMARILLO GRIS;COLOR
7078;BLANCO MORADO;COLOR
7079;ROJO DORADO;COLOR
7080;VERDE NEGRO;COLOR
7081;GRIS BLANCO;COLOR
7082;AMARILLO;COLOR
7083;VERDE;COLOR
7084;ROJO;COLOR
7085;AZUL;COLOR
7086;ROJO FLUORESCENTE;COLOR
7087;AZUL MARINO NEGRO;COLOR
7088;FUCSIA NEGRO;COLOR
7089;AMARILLO FLUORESCENTE NEGRO;COLOR
7090;BLANCO NEGRO GRIS;COLOR
7091;BLANCO NEGRO GRIS;COLOR
7092;AZUL ELECTRICO;COLOR
7093;KHAKI;COLOR
7094;VERDE AGUA BLANCO;COLOR
7095;NARANJA FLOURESCENTE;COLOR
7096;AMARILLO FLUORESCENTE;COLOR
7097;AZUL ELECTRICO;COLOR
7098;AZUL REY;COLOR
7099;NEGRO ROJO;COLOR
7100;BLANCO NEGRO;COLOR
7101;AZUL ELECTRICO;COLOR
7102;ROJO BLANCO;COLOR
7103;AMARILLO FLUORESCENTE NARANJA;COLOR
7104;VERDE FLOURESCENTE;COLOR
7105;AZUL MARINO VERDE FLOURESCENTE;COLOR
7106;VERDE AGUA;COLOR
7107;BLANCO ROSADO MORADO;COLOR
7108;GRIS NEGRO;COLOR
7109;GRIS BLANCO VERDE;COLOR
7110;BLANCO VERDE AGUA;COLOR
7111;NEGRO VERDE AGUA ROJO;COLOR
7112;ROSA BLANCO VERDE AGUA;COLOR
7113;NEGRO SILVER NARANJA;COLOR
7114;NEGRO FUCSIA;COLOR
7115;NEGRO ROSA BLANCO;COLOR
7116;NEGRO AZUL VERDE FLUORESCENTE;COLOR
7117;NEGRO GRIS BLANCO;COLOR
7118;GRIS ROSA BLANCO VERDE FLURORESCENTE;COLOR
7119;BLANCO;COLOR
7120;NEGRO BLANCO;COLOR
7121;NEGRO BLANCO;COLOR
7122;NEGRO NARANJA;COLOR
7123;GRIS NEGRO;COLOR
7124;MORADO BLANCO;COLOR
7125;AZUL CLARO NARANJA BLANCO AMARILLO;COLOR
7126;NEGRO BLANCO;COLOR
7127;NEGRO BLANCO;COLOR
7128;AZUL  CLARO NARANJA NEGRO;COLOR
7129;NEGRO DORADO BLANCO;COLOR
7130;GRIS ROSA BLANCO   ;COLOR
7131;NEGRO AMARILLO AZUL BLANCO;COLOR
7132;GRIS BLANCO MELON;COLOR
7133;VERDE GRIS AMARILLO BLANCO;COLOR
7134;GRIS NARANJA BLANCO;COLOR
7135;BLANCO ROSA  ;COLOR
7136;MORADO AZUL BLANCO;COLOR
7137;BLANCO AZUL VERDE AGUA;COLOR
7138;VERDE AGUA NEGRO ROSA BLANCO;COLOR
7139;NEGRO VERDE GRIS;COLOR
7140;GRIS BLANCO NEGRO;COLOR
7141;NEGRO GRIS;COLOR
7142;ROSA NEGRO BLANCO;COLOR
7143;NEGRO NARANJA;COLOR
7144;NEGRO DORADO  ;COLOR
7145;GRIS BLANCO;COLOR
7146;GRIS BLANCO NEGRO;COLOR
7147;NEGRO GRIS BLANCO ROJO;COLOR
7148;NEGRO BLANCO GRIS;COLOR
7149;GRIS NEGRO;COLOR
7150;NEGRO BLANCO;COLOR
7151;NEGRO BLANCO;COLOR
7152;GRIS BLANCO;COLOR
7153;ROJO BLANCO;COLOR
7154;BLANCO AZUL ROJO;COLOR
7155;BLANCO DORADO;COLOR
7156;BLANCO ROJO;COLOR
7157;BLANCO AZUL;COLOR
7158;BLANCO GRIS ;COLOR
7159;BLANCO NEGRO;COLOR
7160;BEIGE AZUL;COLOR
7161;BLANCO NEGRO;COLOR
7162;GRIS NARANJA  ;COLOR
7163;BLANCO DORADO;COLOR
7164;BLANCO ROJO;COLOR
7165;NEGRO VERDE;COLOR
7166;BLANCO;COLOR
7167;BLANCO PLATEADO;COLOR
7168;BLANCO NARANJA;COLOR
